Course,University,District,Z_Score
MEDICINE,University of Colombo,COLOMBO,2.4516
MEDICINE,University of Colombo,GAMPAHA,2.4412
MEDICINE,University of Colombo,KALUTARA,2.4446
MEDICINE,University of Colombo,MATALE,2.4981
MEDICINE,University of Colombo,KANDY,2.5501
MEDICINE,University of Colombo,GALLE,2.4478
MEDICINE,University of Colombo,MATARA,2.4552
MEDICINE,University of Colombo,HAMBANTOTA,2.4711
MEDICINE,University of Colombo,JAFFNA,2.4504
MEDICINE,University of Colombo,VAVUNIYA,2.5134
MEDICINE,University of Colombo,TRINCOMALEE,2.4637
MEDICINE,University of Colombo,BATTICALOA,2.4902
MEDICINE,University of Colombo,AMPARA,2.4374
MEDICINE,University of Colombo,PUTTALAM,2.4946
MEDICINE,University of Colombo,KURUNEGALA,2.445
MEDICINE,University of Colombo,ANURADHAPURA,2.5446
MEDICINE,University of Colombo,POLONNARUWA,2.4695
MEDICINE,University of Colombo,BADULLA,2.5455
MEDICINE,University of Colombo,KEGALLE,2.4552
MEDICINE,University of Colombo,RATNAPURA,2.4542
MEDICINE,University of Peradeniya,COLOMBO,2.2279
MEDICINE,University of Peradeniya,GAMPAHA,2.2147
MEDICINE,University of Peradeniya,KALUTARA,2.2204
MEDICINE,University of Peradeniya,MATALE,2.215
MEDICINE,University of Peradeniya,KANDY,2.2216
MEDICINE,University of Peradeniya,NUWARA ELIYA,2.2598
MEDICINE,University of Peradeniya,GALLE,2.2429
MEDICINE,University of Peradeniya,MATARA,2.2225
MEDICINE,University of Peradeniya,HAMBANTOTA,2.2646
MEDICINE,University of Peradeniya,JAFFNA,2.212
MEDICINE,University of Peradeniya,KILINOCHCHI,2.3267
MEDICINE,University of Peradeniya,MULLAITIVU,2.2786
MEDICINE,University of Peradeniya,VAVUNIYA,2.2496
MEDICINE,University of Peradeniya,TRINCOMALEE,2.248
MEDICINE,University of Peradeniya,BATTICALOA,2.2518
MEDICINE,University of Peradeniya,AMPARA,2.2384
MEDICINE,University of Peradeniya,PUTTALAM,2.2805
MEDICINE,University of Peradeniya,KURUNEGALA,2.2114
MEDICINE,University of Peradeniya,ANURADHAPURA,2.2347
MEDICINE,University of Peradeniya,POLONNARUWA,2.2591
MEDICINE,University of Peradeniya,BADULLA,2.2159
MEDICINE,University of Peradeniya,MONARAGALA,2.241
MEDICINE,University of Peradeniya,KEGALLE,2.215
MEDICINE,University of Peradeniya,RATNAPURA,2.2112
MEDICINE,University of Sri Jayewardenepura,COLOMBO,2.1465
MEDICINE,University of Sri Jayewardenepura,GAMPAHA,2.1566
MEDICINE,University of Sri Jayewardenepura,KALUTARA,2.1474
MEDICINE,University of Sri Jayewardenepura,MATALE,2.1943
MEDICINE,University of Sri Jayewardenepura,KANDY,2.1512
MEDICINE,University of Sri Jayewardenepura,GALLE,2.1503
MEDICINE,University of Sri Jayewardenepura,MATARA,2.1557
MEDICINE,University of Sri Jayewardenepura,HAMBANTOTA,2.1643
MEDICINE,University of Sri Jayewardenepura,JAFFNA,2.1968
MEDICINE,University of Sri Jayewardenepura,KILINOCHCHI,2.1972
MEDICINE,University of Sri Jayewardenepura,VAVUNIYA,2.1503
MEDICINE,University of Sri Jayewardenepura,TRINCOMALEE,2.1783
MEDICINE,University of Sri Jayewardenepura,BATTICALOA,2.1621
MEDICINE,University of Sri Jayewardenepura,AMPARA,2.169
MEDICINE,University of Sri Jayewardenepura,PUTTALAM,2.1698
MEDICINE,University of Sri Jayewardenepura,KURUNEGALA,2.1529
MEDICINE,University of Sri Jayewardenepura,ANURADHAPURA,2.185
MEDICINE,University of Sri Jayewardenepura,POLONNARUWA,2.1774
MEDICINE,University of Sri Jayewardenepura,BADULLA,2.1671
MEDICINE,University of Sri Jayewardenepura,KEGALLE,2.1465
MEDICINE,University of Sri Jayewardenepura,RATNAPURA,2.1586
MEDICINE,University of Kelaniya,COLOMBO,2.0526
MEDICINE,University of Kelaniya,GAMPAHA,2.0517
MEDICINE,University of Kelaniya,KALUTARA,2.0514
MEDICINE,University of Kelaniya,MATALE,2.0612
MEDICINE,University of Kelaniya,KANDY,2.0545
MEDICINE,University of Kelaniya,NUWARA ELIYA,2.0969
MEDICINE,University of Kelaniya,GALLE,2.0791
MEDICINE,University of Kelaniya,MATARA,2.0508
MEDICINE,University of Kelaniya,HAMBANTOTA,2.0508
MEDICINE,University of Kelaniya,MANNAR,2.1087
MEDICINE,University of Kelaniya,TRINCOMALEE,2.0533
MEDICINE,University of Kelaniya,BATTICALOA,2.0571
MEDICINE,University of Kelaniya,AMPARA,2.0536
MEDICINE,University of Kelaniya,PUTTALAM,2.0552
MEDICINE,University of Kelaniya,KURUNEGALA,2.0517
MEDICINE,University of Kelaniya,ANURADHAPURA,2.0651
MEDICINE,University of Kelaniya,POLONNARUWA,2.1071
MEDICINE,University of Kelaniya,BADULLA,2.0619
MEDICINE,University of Kelaniya,MONARAGALA,2.1015
MEDICINE,University of Kelaniya,KEGALLE,2.06
MEDICINE,University of Kelaniya,RATNAPURA,2.0526
MEDICINE,University of Jaffna,COLOMBO,1.879
MEDICINE,University of Jaffna,GAMPAHA,1.7278
MEDICINE,University of Jaffna,KALUTARA,1.784
MEDICINE,University of Jaffna,MATALE,1.7073
MEDICINE,University of Jaffna,KANDY,1.8169
MEDICINE,University of Jaffna,NUWARA ELIYA,1.7308
MEDICINE,University of Jaffna,HAMBANTOTA,1.7765
MEDICINE,University of Jaffna,JAFFNA,1.8724
MEDICINE,University of Jaffna,KILINOCHCHI,1.7943
MEDICINE,University of Jaffna,MANNAR,1.7335
MEDICINE,University of Jaffna,MULLAITIVU,1.8819
MEDICINE,University of Jaffna,VAVUNIYA,1.8433
MEDICINE,University of Jaffna,TRINCOMALEE,1.7138
MEDICINE,University of Jaffna,BATTICALOA,1.8226
MEDICINE,University of Jaffna,AMPARA,1.8321
MEDICINE,University of Jaffna,PUTTALAM,1.7175
MEDICINE,University of Jaffna,KURUNEGALA,1.8028
MEDICINE,University of Jaffna,ANURADHAPURA,1.7109
MEDICINE,University of Jaffna,POLONNARUWA,1.7355
MEDICINE,University of Jaffna,BADULLA,1.7099
MEDICINE,University of Jaffna,MONARAGALA,1.7277
MEDICINE,University of Jaffna,KEGALLE,1.8226
MEDICINE,University of Jaffna,RATNAPURA,1.752
MEDICINE,University of Ruhuna,COLOMBO,1.9559
MEDICINE,University of Ruhuna,GAMPAHA,1.955
MEDICINE,University of Ruhuna,KALUTARA,1.9559
MEDICINE,University of Ruhuna,MATALE,1.9778
MEDICINE,University of Ruhuna,KANDY,1.9598
MEDICINE,University of Ruhuna,NUWARA ELIYA,1.9775
MEDICINE,University of Ruhuna,GALLE,1.9552
MEDICINE,University of Ruhuna,MATARA,1.955
MEDICINE,University of Ruhuna,HAMBANTOTA,1.9606
MEDICINE,University of Ruhuna,VAVUNIYA,1.9671
MEDICINE,University of Ruhuna,TRINCOMALEE,2.0044
MEDICINE,University of Ruhuna,BATTICALOA,1.9614
MEDICINE,University of Ruhuna,AMPARA,1.9566
MEDICINE,University of Ruhuna,PUTTALAM,1.9578
MEDICINE,University of Ruhuna,KURUNEGALA,1.9594
MEDICINE,University of Ruhuna,ANURADHAPURA,1.9552
MEDICINE,University of Ruhuna,BADULLA,1.9626
MEDICINE,University of Ruhuna,MONARAGALA,1.9757
MEDICINE,University of Ruhuna,KEGALLE,1.9616
MEDICINE,University of Ruhuna,RATNAPURA,1.9571
MEDICINE,University of Moratuwa,COLOMBO,1.8732
MEDICINE,University of Moratuwa,GAMPAHA,1.8707
MEDICINE,University of Moratuwa,KALUTARA,1.8732
MEDICINE,University of Moratuwa,KANDY,1.8827
MEDICINE,University of Moratuwa,NUWARA ELIYA,1.9286
MEDICINE,University of Moratuwa,GALLE,1.8728
MEDICINE,University of Moratuwa,MATARA,1.913
MEDICINE,University of Moratuwa,HAMBANTOTA,1.9222
MEDICINE,University of Moratuwa,JAFFNA,2.0797
MEDICINE,University of Moratuwa,VAVUNIYA,1.8938
