0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"COURSE 
 
OF 
 
STUDY
 
DISTRICT","MEDICINE
(University of Colombo)","MEDICINE
(University of Peradeniya)","MEDICINE
(University of Sri Jayewardenepura)","MEDICINE
(University of Kelaniya)","MEDICINE
(University of Jaffna)","MEDICINE
(University of Ruhuna)","MEDICINE
(University of Moratuwa)","MEDICINE
(Eastern University, Sri Lanka)","MEDICINE
(Rajarata University of Sri Lanka)","MEDICINE
(Sabaragamuwa University of Sri Lanka)","MEDICINE
(Wayamba University of Sri Lanka)","MEDICINE
(Uva Wellassa University of Sri Lanka)","DENTAL SURGERY
(University of Peradeniya)","DENTAL SURGERY
(University of Sri Jayewardenepura)","VETERINARY SCIENCE
(University of Peradeniya)","BIOCHEMISTRY & MOLECULAR BIOLOGY 
(University of Colombo)","AGRICULTURAL TECHNOLOGY & MANAGEMENT
(University of Peradeniya)","AGRICULTURE
(University of Jaffna)","AGRICULTURE
(Eastern University, Sri Lanka)","AGRICULTURE
(Rajarata University of Sri Lanka)","AGRICULTURE
(Sabaragamuwa University of Sri Lanka)","AGRICULTURE
(Wayamba University of Sri Lanka)","FOOD SCIENCE & NUTRITION
(Wayamba University of Sri Lanka)","FOOD SCIENCE & TECHNOLOGY
(University of Peradeniya)","FOOD SCIENCE & TECHNOLOGY
(University of Sri Jayewardenepura)","FOOD SCIENCE & TECHNOLOGY
(Sabaragamuwa University of Sri Lanka)","BIOLOGICAL SCIENCE
(University of Colombo)"
COLOMBO,2.37,2.1625,2.0988,2.0028,1.8877,1.9245,1.8762,NQC,1.8962,1.9197,1.9044,NQC,1.8054,1.8026,1.7247,1.7665,1.2144,0.6275,0.621,0.7526,0.789,0.6925,1.1286,1.5455,1.4477,1.132,1.5978
GAMPAHA,2.37,2.1812,2.1131,2.0126,1.6662,1.9237,1.8568,NQC,1.8191,1.6464,1.6996,1.6454,1.6256,1.626,1.6125,1.6023,1.2549,0.6256,0.5565,0.7532,0.7928,0.696,1.162,1.5092,1.4666,1.2127,1.598
KALUTARA,2.3809,2.1587,2.1097,2.0369,1.7774,1.9223,1.8544,NQC,1.8267,1.7836,1.7756,NQC,1.7634,NQC,1.7223,1.7503,1.2933,0.7552,0.7524,0.749,0.7895,0.7505,1.2072,1.4838,1.4449,NQC,1.6137
MATALE,2.4415,2.1817,2.128,2.0614,1.6734,1.983,1.8715,1.5776,1.8212,NQC,1.7569,NQC,1.5707,1.5718,1.5366,1.5604,1.2716,0.674,0.6606,0.7496,0.8637,0.6976,1.0935,NQC,NQC,1.0889,NQC
KANDY,2.5094,2.1565,2.1104,2.0099,1.7799,1.9235,1.877,NQC,1.8167,1.7997,1.7781,NQC,1.7681,NQC,1.7313,1.7251,1.3015,0.7413,0.8715,0.7486,0.8281,0.7344,1.1591,1.5127,1.4643,1.1798,1.5993
NUWARA ELIYA,2.8086,2.2153,2.1047,2.0245,1.6672,1.9304,NQC,1.5163,1.8889,1.8137,1.6996,1.5375,1.4818,1.5162,1.4285,1.4099,1.2419,0.6278,0.4572,0.7535,0.8645,0.6937,1.1038,NQC,NQC,1.0193,NQC
GALLE,2.3865,2.2065,2.1309,2.0245,1.8412,1.9231,1.8515,NQC,1.816,1.8096,1.8069,NQC,1.7994,NQC,1.726,1.7503,1.2977,0.78,0.7131,0.7453,0.7935,0.7172,1.1845,1.487,1.4598,1.3515,1.6021
MATARA,2.3706,2.2008,2.1027,2.0192,NQC,1.9309,1.848,NQC,1.8311,1.8474,1.8335,NQC,1.8153,NQC,1.7242,1.7529,1.3005,0.905,0.7314,0.7472,0.8047,0.7227,1.1791,1.4819,1.4462,1.4754,1.6089
HAMBANTOTA,2.4802,2.1781,2.1135,2.0058,NQC,1.9215,1.8685,1.8131,1.8201,1.8005,NQC,NQC,1.7901,1.7935,1.7326,1.7249,1.3405,0.7266,0.7527,0.7473,0.794,0.7215,1.1566,1.4927,1.4412,1.3386,1.6803
