0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
JAFFNA,2.3703,2.1833,2.0997,NQC,1.8577,NQC,1.8575,NQC,NQC,NQC,NQC,NQC,1.8172,NQC,1.6952,1.7634,1.2388,0.7086,NQC,0.7724,0.9733,0.8416,1.2255,NQC,1.4512,1.1475,NQC
KILINOCHCHI,2.4962,2.2201,2.1309,NQC,1.6691,NQC,NQC,1.5516,NQC,NQC,NQC,NQC,1.5495,NQC,1.4931,1.5195,1.0787,0.6708,NQC,0.7443,NQC,NQC,0.8406,NQC,NQC,0.9776,NQC
MANNAR,2.527,NQC,NQC,2.0257,1.7713,1.9247,NQC,NQC,1.8663,1.7839,NQC,NQC,1.7265,NQC,1.5327,1.5308,0.8058,0.7067,NQC,NQC,NQC,0.7427,1.2448,NQC,NQC,1.1828,NQC
MULLAITIVU,NQC,2.2856,NQC,NQC,1.7482,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.7468,NQC,1.6663,1.6304,1.1665,0.63,0.5403,NQC,NQC,NQC,0.8419,NQC,NQC,0.9934,NQC
VAVUNIYA,2.8227,2.201,2.1173,2.0332,1.683,NQC,NQC,1.6524,NQC,NQC,NQC,1.6583,1.6004,NQC,1.5914,1.5381,1.1781,0.7011,0.6,0.7617,NQC,1.041,1.1944,NQC,NQC,1.0817,NQC
TRINCOMALEE,2.479,2.352,2.131,2.0224,1.6618,1.9666,NQC,1.6025,1.8384,NQC,1.7627,1.6207,1.576,NQC,1.556,1.5367,1.2275,0.6326,0.5485,NQC,0.8232,0.7235,1.0588,NQC,NQC,1.2406,NQC
BATTICALOA,2.4312,2.1799,2.1062,2.0032,1.7804,1.9269,1.8874,1.7744,1.8472,NQC,1.7908,NQC,1.7318,NQC,1.6891,1.6925,1.2514,0.6463,0.6522,NQC,0.8645,0.74,1.1473,NQC,NQC,1.215,1.613
AMPARA,2.3849,2.1581,2.1248,2.0228,1.7666,1.9349,1.8505,1.7123,1.8292,1.7166,1.7127,1.8055,1.7001,1.7053,1.6939,1.6829,1.2573,0.7096,0.6938,NQC,0.7908,0.7042,1.2052,NQC,1.4498,1.1867,NQC
PUTTALAM,2.3803,2.1963,NQC,2.0144,1.6752,1.9549,1.8622,1.6202,1.8232,1.6485,1.7082,NQC,1.6062,NQC,1.5833,1.5805,1.2954,0.6497,0.4993,0.7512,0.8353,0.6934,1.176,1.5487,1.4426,1.04,1.7634
KURUNEGALA,2.4158,2.1617,2.1019,2.0102,1.7814,1.9247,1.8531,NQC,1.819,NQC,1.7781,NQC,1.7717,NQC,1.7261,1.7474,1.3021,0.7292,0.8474,0.7426,0.8405,0.7334,1.2035,1.6043,1.4459,1.3659,1.603
ANURADHAPURA,2.378,2.1629,2.1186,2.0074,1.6667,1.9247,NQC,1.5275,1.8314,NQC,1.7018,1.5373,1.5122,NQC,1.4768,1.4769,1.318,0.6351,0.602,0.7815,0.8091,0.7115,1.1534,NQC,1.4463,1.1176,NQC
POLONNARUWA,2.5831,2.1597,NQC,NQC,1.7126,1.9507,NQC,1.4926,1.819,NQC,1.7466,1.4761,1.4402,NQC,1.4252,1.5102,1.1868,0.6345,0.4731,0.9336,0.8402,0.7583,0.8996,NQC,NQC,0.8365,NQC
BADULLA,2.4412,2.1757,2.1252,2.0055,1.6683,1.9236,NQC,1.5883,1.8738,1.6579,NQC,1.5978,1.5754,NQC,1.5625,1.5401,1.255,0.7045,0.7081,0.7514,0.8187,0.7005,1.1699,NQC,1.5399,1.1182,NQC
MONARAGALA,2.4569,2.1588,NQC,2.0111,1.6892,1.9839,NQC,1.6298,1.8289,1.648,1.7704,NQC,NQC,1.5915,1.5838,1.5623,1.2812,0.7015,1.5712,0.7436,1.0616,0.6971,1.1261,1.5441,1.4691,1.2726,NQC
KEGALLE,2.3907,2.1918,2.1411,2.01,1.7179,1.9223,NQC,NQC,1.8169,1.7361,1.7225,NQC,1.7085,NQC,1.6219,1.6748,1.3604,0.7747,0.7774,0.7741,0.7953,0.7693,1.1889,1.4824,1.4622,1.3158,1.6049
RATNAPURA,2.3844,2.1706,2.1103,2.0135,NQC,1.9227,1.8802,NQC,1.8227,1.7692,1.8032,1.8222,1.7599,NQC,1.7215,1.7379,1.3026,0.6513,0.6494,0.776,0.7917,0.7248,1.1932,1.4804,1.4432,1.3125,1.5983
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COURSE 
 
OF 
 
STUDY
 
DISTRICT","BIOLOGICAL SCIENCE
(University of Peradeniya)","BIOLOGICAL SCIENCE
(University of Sri Jayewardenepura)","BIOLOGICAL SCIENCE
(University of Kelaniya)","BIOLOGICAL SCIENCE
(University of Jaffna)","BIOLOGICAL SCIENCE
(University of Ruhuna)","BIOLOGICAL SCIENCE
(Eastern University, Sri Lanka)","BIOLOGICAL SCIENCE
(South Eastern University of Sri Lanka)","APPLIED SCIENCES (BIO.SC)
(Rajarata University of Sri Lanka)","APPLIED SCIENCES (BIO.SC)
(Sabaragamuwa University of Sri Lanka)","APPLIED SCIENCES (BIO.SC)
(University of Vavuniya, Sri Lanka)","ENGINEERING  
(University of Peradeniya)","ENGINEERING  
(University of Sri Jayewardenepura)","ENGINEERING  
(University of Jaffna)","ENGINEERING  
(University of Ruhuna)","ENGINEERING  
(University of Moratuwa)","ENGINEERING  
(South Eastern University of Sri Lanka)","ENGINEERING  (EM)  
(University of Moratuwa)","ENGINEERING  (TM)
(University of Moratuwa)","QUANTITY SURVEYING  
(University of Moratuwa)","COMPUTER SCIENCE  
(University of Colombo School of Computing)","COMPUTER SCIENCE  
(University of Sri Jayewardenepura)","COMPUTER SCIENCE  
(University of Kelaniya)","COMPUTER SCIENCE  
(University of Jaffna)","COMPUTER SCIENCE  
(University of Ruhuna)","COMPUTER SCIENCE  
(Eastern University - Trincomalee Campus)","PHYSICAL SCIENCE
(University of Colombo)","PHYSICAL SCIENCE
(University of Peradeniya)"
COLOMBO,1.4293,1.3632,1.2927,1.0495,1.1681,1.0076,0.9998,0.9484,0.9826,0.7858,1.9264,1.8086,NQC,1.8176,2.0805,NQC,1.6222,1.6074,1.4356,1.6486,1.5739,1.5815,1.3792,1.3995,NQC,1.3692,1.247
GAMPAHA,1.4388,1.3616,1.2905,1.0445,1.168,0.8909,0.7932,0.9582,0.9803,0.6605,1.9259,1.8122,1.5835,1.6306,2.0818,NQC,1.5299,1.5433,1.4088,1.655,1.6321,NQC,1.1771,1.4079,1.2027,1.3723,1.2477
KALUTARA,1.4419,1.3602,1.291,1.2104,1.2084,1.4254,NQC,0.9556,0.9854,NQC,1.936,1.801,NQC,1.7093,2.0848,NQC,1.6336,1.6095,1.4199,1.6535,1.5745,1.5904,1.3137,1.4152,NQC,1.3737,1.2579
MATALE,1.442,1.3632,1.2974,1.1652,1.1659,NQC,NQC,0.9532,1.0506,0.7762,1.947,NQC,1.2734,1.7057,2.1458,1.1175,1.613,1.5127,1.234,NQC,NQC,NQC,1.1074,NQC,0.7439,NQC,NQC
KANDY,1.4269,1.3638,1.2906,1.0814,1.1665,1.0835,NQC,0.9573,0.9847,NQC,1.9251,1.8007,1.6179,1.6267,2.1017,NQC,1.5922,1.5721,1.348,1.6561,1.5888,1.5829,1.11,1.4568,1.0091,1.3697,1.2463
NUWARA ELIYA,NQC,1.393,1.3111,1.1266,1.1973,0.8883,0.5027,0.9716,1.0096,0.4634,1.9937,NQC,1.2672,1.6467,2.0835,0.7651,1.0294,1.0482,0.7132,NQC,NQC,NQC,NQC,NQC,0.4406,1.7121,1.5859
GALLE,1.4327,1.3615,1.2902,1.2824,1.2002,1.2465,NQC,0.9888,0.9872,NQC,1.9258,1.8512,NQC,1.8399,2.0803,NQC,1.5931,1.6126,1.4682,1.6504,1.5751,1.5847,NQC,1.4864,NQC,1.372,1.2502
MATARA,1.4316,1.3748,1.3021,1.0535,1.1732,0.9927,1.0163,0.967,0.9948,0.809,1.9292,1.8422,NQC,1.8187,2.0829,NQC,1.6045,1.5991,1.4746,1.6503,1.5769,1.5881,NQC,1.5312,NQC,1.3737,1.2531
HAMBANTOTA,1.4597,1.3614,1.292,NQC,1.1738,0.9767,0.9968,0.949,0.9897,NQC,1.9376,1.9009,NQC,1.6476,2.0798,NQC,1.589,1.5851,1.4374,1.8055,1.6036,1.5901,NQC,1.4499,NQC,1.3709,1.2643
JAFFNA,1.4437,1.361,1.2987,1.047,1.2017,1.0513,NQC,0.962,1.0118,0.9209,1.9254,1.8019,1.6834,1.695,2.0822,NQC,1.3231,1.411,1.3915,1.6495,1.5786,NQC,1.3247,NQC,NQC,NQC,1.2518
KILINOCHCHI,NQC,NQC,NQC,NQC,NQC,NQC,0.6312,NQC,NQC,0.5652,1.956,NQC,1.605,1.7726,2.1396,NQC,1.5508,1.4688,1.4447,NQC,NQC,NQC,1.174,NQC,0.8323,NQC,NQC
MANNAR,NQC,NQC,NQC,NQC,NQC,NQC,0.4456,NQC,NQC,0.6361,NQC,1.8685,1.4186,1.6598,2.3839,NQC,0.9022,0.8306,0.765,NQC,NQC,NQC,NQC,NQC,0.5385,NQC,NQC
MULLAITIVU,NQC,NQC,NQC,NQC,NQC,0.8896,0.5602,NQC,NQC,0.4935,NQC,NQC,NQC,NQC,2.6538,0.5854,0.5315,0.4242,0.5296,NQC,NQC,NQC,NQC,NQC,0.3781,NQC,NQC
VAVUNIYA,NQC,NQC,NQC,1.1065,1.1699,0.9789,0.5262,NQC,NQC,0.5237,2.0224,NQC,1.2786,1.6385,2.1676,1.1117,1.1249,0.8214,1.1299,NQC,NQC,NQC,NQC,NQC,0.6572,NQC,NQC
TRINCOMALEE,NQC,NQC,1.3583,1.0621,NQC,0.8955,0.5868,0.9555,NQC,0.6021,2.0122,1.8569,1.2771,1.6537,2.102,1.2453,1.3575,1.1623,1.136,1.6562,NQC,NQC,1.2109,NQC,0.8012,NQC,NQC
BATTICALOA,1.4836,1.3696,1.317,1.0467,NQC,0.9211,0.9413,0.9698,NQC,0.8619,1.9494,1.8585,1.4005,1.6319,2.0967,NQC,1.3733,1.3259,1.3041,NQC,NQC,NQC,1.1243,NQC,0.9517,1.7505,NQC
AMPARA,1.5505,1.3597,1.3265,1.0528,1.1943,0.8836,0.9031,0.9519,1.0899,0.7455,1.9463,NQC,1.4009,1.6277,2.1657,1.4015,1.3324,1.3281,1.2698,NQC,NQC,NQC,1.1614,NQC,0.9563,NQC,NQC
PUTTALAM,1.4346,1.3789,1.2956,1.0487,1.1783,0.8878,0.6234,1.0136,NQC,0.5672,1.9782,NQC,1.279,1.634,2.0884,1.035,1.3808,1.4779,1.124,1.7084,NQC,NQC,1.2255,NQC,0.7394,1.6697,NQC
KURUNEGALA,1.4248,1.3605,1.2905,1.1386,1.1691,1.2579,NQC,0.9543,0.9993,0.8628,1.9267,1.8,NQC,1.692,2.0805,NQC,1.5806,1.6078,1.4382,1.6517,1.5758,1.5821,1.3986,1.4004,NQC,1.3713,1.2542
ANURADHAPURA,1.4467,1.3809,1.303,1.0447,1.1903,0.9108,0.7568,0.9486,0.9946,0.6922,1.9395,NQC,1.3698,1.6287,2.1595,NQC,1.3586,1.3545,1.324,1.7014,NQC,NQC,1.1075,NQC,0.8951,1.4009,1.3055
POLONNARUWA,NQC,1.3651,1.2976,1.0666,1.1825,0.9225,0.6844,NQC,1.0952,0.5973,2.0505,1.8109,1.2676,1.6574,2.1108,0.8495,1.2091,1.5527,0.8559,NQC,NQC,NQC,NQC,NQC,0.644,2.1084,NQC
BADULLA,1.4369,1.3652,1.2913,1.0488,1.1678,0.8964,0.8021,0.9627,0.9854,0.7308,1.9319,1.8417,1.6082,1.6263,2.1156,NQC,1.5841,1.5756,1.3984,1.6764,NQC,NQC,1.1182,1.5052,1.1568,1.3938,1.2459
MONARAGALA,NQC,1.3638,1.2943,1.0861,1.1702,0.898,0.689,1.1244,1.1272,0.6003,1.9573,NQC,1.2793,1.6425,2.1018,1.2014,1.5871,1.5048,1.1499,NQC,NQC,NQC,1.1541,NQC,0.8199,NQC,1.5292
KEGALLE,1.4262,1.3711,1.2932,1.0778,1.1676,1.1372,NQC,0.9682,0.9876,NQC,1.9402,1.8084,NQC,1.6427,2.0962,NQC,1.5467,1.5472,1.4414,1.8996,1.5744,1.5816,1.3115,1.4197,NQC,1.3845,1.2515
RATNAPURA,1.4274,1.3632,1.2982,1.0473,1.1709,0.9503,0.9951,0.9934,0.9838,0.6786,1.9391,1.8004,1.5051,1.6336,2.0919,1.5439,1.4419,1.4932,1.3696,1.8598,1.6095,NQC,1.1751,1.4218,1.164,1.3692,1.2504
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COURSE 
 
OF 
 
STUDY
 
DISTRICT","PHYSICAL SCIENCE
(University of Sri Jayewardenepura)","PHYSICAL SCIENCE
(University of Kelaniya)","PHYSICAL SCIENCE
(University of Jaffna)","PHYSICAL SCIENCE
(University of Ruhuna)","PHYSICAL SCIENCE
(Eastern University, Sri Lanka)","PHYSICAL SCIENCE
(South Eastern University of Sri Lanka)","SURVEYING SCIENCE
(Sabaragamuwa University of Sri Lanka)","APPLIED SCIENCES  (PHY.SC)
(Rajarata University of Sri Lanka)","APPLIED SCIENCES  (PHY.SC)
(Sabaragamuwa University of Sri Lanka)","APPLIED SCIENCES  (PHY.SC)
(Wayamba University of Sri Lanka)","APPLIED SCIENCES  (PHY.SC)
(University of Vavuniya, Sri Lanka)","APPLIED SCIENCES  (PHY.SC)
(Eastern University - Trincomalee Campus)","MANAGEMENT
(University of Colombo)","MANAGEMENT
(University of Peradeniya)","MANAGEMENT
(University of Sri Jayewardenepura)","MANAGEMENT
(University of Kelaniya)","MANAGEMENT
(University of Jaffna)","MANAGEMENT
(University of Ruhuna)","MANAGEMENT
(Eastern University, Sri Lanka)","MANAGEMENT
(South Eastern University of Sri Lanka)","MANAGEMENT
(Rajarata  University of Sri Lanka)","MANAGEMENT
(Sabaragamuwa University of Sri Lanka)","MANAGEMENT
(Wayamba University of Sri Lanka)","REAL ESTATE MANAGEMENT & VALUATION
(University of Sri Jayewardenepura)","COMMERCE
(University of Sri Jayewardenepura)","COMMERCE
(University of Kelaniya)","COMMERCE
(University of Jaffna)"
COLOMBO,1.1824,1.0877,0.8975,0.9913,0.948,0.9211,1.0317,0.8907,0.9711,0.8288,0.8294,0.8344,1.7191,1.5696,1.7191,1.6152,1.325,1.4257,1.3368,1.3728,1.3265,1.3256,1.3457,1.5577,1.5888,1.4736,1.2504
GAMPAHA,1.1855,1.0851,0.7941,0.991,0.7948,0.8542,1.0102,0.9178,0.9806,0.8199,0.7322,0.7308,1.7223,1.5728,1.7183,1.6168,1.3161,1.4264,1.4048,NQC,1.3161,1.3218,1.3424,1.4872,1.5948,1.4736,1.2433
KALUTARA,1.1845,1.0853,0.8872,0.9982,0.9138,0.8854,1.1064,0.8982,0.9735,0.8163,0.8018,NQC,1.7207,1.5808,1.7191,1.6175,NQC,1.4312,NQC,NQC,1.3817,1.3664,1.3649,1.5201,1.5944,1.4752,1.3145
MATALE,NQC,1.0927,0.8367,1.0491,0.5778,0.5733,0.9708,0.9527,NQC,0.8591,0.7015,0.5089,1.7383,1.5807,1.7311,1.6265,1.2512,1.5552,NQC,1.2473,1.2465,1.3353,1.3456,1.5887,1.6104,1.4725,1.2113
KANDY,1.1907,1.0859,0.8057,0.9918,0.8251,0.901,1.0113,0.9108,0.9743,0.8185,0.7824,0.7875,1.7303,1.5736,1.7303,1.6176,1.2402,1.4288,1.3064,NQC,1.2441,1.3249,1.3425,1.5209,1.5928,1.4856,1.2121
NUWARA ELIYA,NQC,NQC,0.9804,NQC,0.4056,0.1747,0.6473,NQC,NQC,NQC,NQC,0.148,1.7687,1.5768,1.724,1.6344,1.089,1.4393,1.0849,1.0826,1.2441,1.3265,1.3456,1.5072,NQC,1.4728,1.3265
GALLE,1.1819,1.0853,NQC,1.0317,NQC,NQC,1.0987,0.8906,0.9708,0.8813,0.8797,NQC,1.7215,1.5735,1.7299,1.6176,1.3569,1.4257,NQC,NQC,NQC,1.3624,1.3777,1.5559,1.5951,1.4912,1.28
MATARA,1.1831,1.0886,NQC,1.0491,NQC,NQC,1.1548,0.8838,0.981,0.8601,NQC,0.8691,1.7334,1.5952,1.7311,1.6164,NQC,1.4264,NQC,NQC,1.3992,1.3738,1.3864,1.548,1.5943,1.4784,1.2793
HAMBANTOTA,1.1872,1.0952,0.9414,0.9986,NQC,0.9692,1.1549,0.8838,0.9716,0.8607,NQC,NQC,1.7543,1.612,1.7487,1.6159,1.137,1.428,1.1258,1.1634,1.2481,1.3577,1.3657,1.5824,1.5895,1.5118,NQC
JAFFNA,1.1878,1.0979,0.8707,1.0042,0.9339,0.9072,1.1538,0.9003,1.0698,0.8336,0.8382,0.9449,1.7279,1.5992,1.7191,NQC,1.0587,NQC,1.0531,1.0778,NQC,NQC,NQC,1.3051,NQC,NQC,NQC
KILINOCHCHI,NQC,NQC,0.8103,NQC,0.4169,0.32,0.8495,NQC,NQC,NQC,NQC,0.3759,NQC,1.5913,1.7903,1.6567,1.0715,NQC,0.7579,1.1058,NQC,1.4792,NQC,1.1954,NQC,NQC,NQC
MANNAR,NQC,NQC,NQC,NQC,NQC,-0.0245,0.5638,NQC,NQC,NQC,NQC,-0.2251,1.7335,1.5816,1.8151,NQC,1.0825,1.5456,0.9074,0.9723,NQC,NQC,NQC,1.1129,NQC,NQC,NQC
MULLAITIVU,NQC,NQC,NQC,NQC,NQC,-0.0153,0.3123,NQC,NQC,NQC,NQC,0.0857,1.8311,1.5864,1.9438,1.6448,1.0801,NQC,1.2466,1.0818,NQC,1.42,NQC,1.2945,NQC,NQC,NQC
VAVUNIYA,NQC,NQC,NQC,NQC,0.422,0.2645,0.8986,NQC,NQC,NQC,NQC,0.2048,NQC,1.572,1.7663,NQC,1.0706,NQC,0.9883,NQC,1.2537,NQC,NQC,1.508,1.644,1.5664,NQC
TRINCOMALEE,NQC,NQC,0.7995,1.0208,0.4014,0.2865,1.06,0.8883,NQC,0.8327,0.6416,NQC,1.7271,1.5744,1.732,1.6239,1.0786,NQC,0.7595,0.7635,1.4009,NQC,1.3441,1.4497,NQC,NQC,NQC
BATTICALOA,1.1912,1.0988,0.7914,1.0055,0.5639,0.5598,1.0595,0.9056,NQC,0.8316,0.6481,0.6723,1.7206,1.5728,1.7335,1.7063,1.1058,1.5135,1.1002,1.0811,1.2441,NQC,1.4281,1.3265,NQC,1.5598,NQC
AMPARA,NQC,1.1096,0.7921,1.0096,0.6185,0.6114,1.0428,0.9143,1.039,0.8178,0.6624,0.5921,1.7671,1.6031,1.7519,1.6215,1.0651,1.4361,0.9258,0.9259,1.2466,1.3641,1.3505,1.3721,NQC,NQC,NQC
PUTTALAM,NQC,1.117,0.8108,1.0073,0.4107,0.3388,0.8515,0.9886,NQC,0.8185,0.6277,0.3,1.7247,1.5992,1.7495,1.6255,1.1569,1.4289,1.2034,1.1561,1.2497,1.3392,1.3472,1.3473,1.6112,1.4759,NQC
KURUNEGALA,1.1839,1.0862,0.886,0.9909,0.8952,0.8835,1.1014,0.8967,0.9788,0.8327,0.8409,0.8643,1.7327,1.5699,1.7207,1.6152,1.2825,1.4273,NQC,NQC,1.2801,1.3304,1.3425,1.5648,1.6095,1.476,1.2202
ANURADHAPURA,1.1819,1.0894,0.7916,0.9977,0.6331,0.6324,1.0026,0.8924,NQC,0.8427,0.6122,0.5512,1.7255,1.5704,1.7198,1.6212,1.1322,1.4297,1.1474,NQC,1.2458,1.3305,1.3432,1.5496,1.6064,1.4928,NQC
POLONNARUWA,NQC,NQC,NQC,NQC,0.4221,0.3596,0.7637,NQC,NQC,NQC,NQC,0.2147,1.7647,NQC,1.7431,1.6248,1.0858,1.5576,1.0834,1.0835,1.2449,1.324,1.3529,1.536,1.7407,1.4976,NQC
BADULLA,1.1939,1.088,0.7985,0.9919,0.7747,0.8643,1.1125,0.8887,0.9767,0.8185,0.7514,0.7352,1.7342,1.5768,1.7535,1.6184,1.0713,1.4313,1.0721,1.0921,1.2513,1.3247,1.3505,1.5176,1.5992,1.5783,NQC
MONARAGALA,NQC,1.1416,0.81,0.9947,0.6335,0.6291,1.0257,NQC,NQC,NQC,0.6144,0.529,1.7247,1.5687,1.7447,1.6167,1.2418,1.428,1.2409,NQC,1.2448,1.3257,1.3441,1.5632,NQC,1.4864,1.2209
KEGALLE,1.1969,1.0872,0.9153,0.9919,NQC,NQC,1.0605,0.8842,0.9903,0.8459,0.8827,NQC,1.7287,1.5935,1.7207,1.616,1.3583,1.4312,NQC,NQC,1.3209,1.3232,1.3424,1.592,1.6015,1.4896,1.2626
RATNAPURA,1.1926,1.0916,0.8018,1.0029,0.6867,0.7033,1.0743,0.8859,0.9752,0.823,0.619,0.6226,1.7167,1.5848,1.7175,1.6232,1.2385,1.428,1.3083,1.237,1.2474,1.3249,1.3456,1.4745,1.6032,1.4745,1.2107
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COURSE 
 
OF 
 
STUDY
 
DISTRICT","COMMERCE
(Eastern University, Sri Lanka)","COMMERCE
(South Eastern University of Sri Lanka)","MANAGEMENT (PUBLIC) HONOURS
(University of Sri Jayewardenepura)","BUSINESS INFORMATION SYSTEMS 
(HONOURS) (BIS)
(University of Sri Jayewardenepura)","FINANCIAL ENGINEERING 
(University of Kelaniya)","BANKING & INSURANCE 
(University of Vavuniya, Sri Lanka)","LAW
(University of Colombo)","LAW
(University of Peradeniya)","LAW
(University of Jaffna)","ARTS *
(University of Colombo)","ARTS *
(University of Peradeniya)","ARTS *
(University of Sri Jayewardenepura)","ARTS *
(University of Kelaniya)","ARTS *
(University of Jaffna)","ARTS *
(University of Ruhuna)","ARTS *
(Eastern University, Sri Lanka)","ARTS *
(South Eastern University of Sri Lanka)","ARTS *
(Rajarata University of Sri Lanka)","ARTS  (SP) / MASS MEDIA* #
(University of Colombo - Sri Palee Campus)","ARTS (SP) / PERFORMING ARTS * #
(University of Colombo - Sri Palee Campus)","ARTS (SAB) - A * [Arts Stream]
(Sabaragamuwa University of Sri Lanka)","ARTS (SAB) - B * [Commerce Stream]
(Sabaragamuwa University of Sri Lanka)","ARTS-INFORMATION TECHNOLOGY * 
(University of Sri Jayewardenepura)","AQUATIC BIORESOURCES 
(University of Sri Jayewardenepura)","URBAN BIORESOURCES
(University of Sri Jayewardenepura)","SOCIAL WORK *
(University of Peradeniya)","SOCIAL WORK *
(University of Jayewardenepura)"
COLOMBO,1.2484,1.2545,1.5656,1.9558,1.6751,1.2609,1.9007,1.8652,NQC,1.6698,1.5147,1.5194,1.4179,1.1854,1.3336,1.1522,1.2695,1.2989,1.1093,0.8418,1.3499,1.1634,1.7807,0.9948,0.9212,1.7406,1.7022
GAMPAHA,1.248,1.2457,1.5136,1.8623,1.6319,1.2354,1.9018,1.8645,1.8292,1.6698,1.5147,1.5194,1.4179,1.1854,1.3336,1.1522,1.2695,1.2989,1.1093,0.8418,1.3499,1.1634,1.7807,0.9053,0.8691,1.7406,1.7022
KALUTARA,1.3552,1.3137,1.4768,1.8719,1.6783,1.2634,1.8968,1.8644,1.8435,1.6698,1.5147,1.5194,1.4179,1.1854,1.3336,1.1522,1.2695,1.2989,1.1093,0.8418,1.3499,1.1634,1.7807,0.9971,0.9196,1.7406,1.7022
MATALE,1.2121,1.2129,1.5186,1.9198,1.6671,1.2312,1.9069,1.87,1.8526,1.6698,1.5147,1.5194,1.4179,1.1854,1.3336,1.1522,1.2695,1.2989,1.1093,0.8418,1.3499,1.1634,1.7807,1.0222,0.6956,1.7406,1.7022
