0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"COURSE 
 
OF 
 
STUDY
 
DISTRICT","MEDICINE
(University of Colombo)","MEDICINE
(University of Peradeniya)","MEDICINE
(University of Sri Jayewardenepura)","MEDICINE
(University of Kelaniya)","MEDICINE
(University of Jaffna)","MEDICINE
(University of Ruhuna)","MEDICINE
(University of Moratuwa)","MEDICINE
(Eastern University, Sri Lanka)","MEDICINE
(Rajarata University of Sri Lanka)","MEDICINE
(Sabaragamuwa University of Sri Lanka)","MEDICINE
(Wayamba University of Sri Lanka)","MEDICINE
(Uva Wellassa University of Sri Lanka)","DENTAL SURGERY
(University of Peradeniya)","DENTAL SURGERY
(University of Sri Jayewardenepura)","VETERINARY SCIENCE
(University of Peradeniya)","BIOCHEMISTRY & MOLECULAR BIOLOGY 
(University of Colombo)","AGRICULTURAL TECHNOLOGY & MANAGEMENT
(University of Peradeniya)","AGRICULTURE
(University of Jaffna)","AGRICULTURE
(Eastern University, Sri Lanka)","AGRICULTURE
(Rajarata University of Sri Lanka)","AGRICULTURE
(Sabaragamuwa University of Sri Lanka)","AGRICULTURE
(Wayamba University of Sri Lanka)","FOOD SCIENCE & NUTRITION
(Wayamba University of Sri Lanka)","FOOD SCIENCE & TECHNOLOGY
(University of Peradeniya)","FOOD SCIENCE & TECHNOLOGY
(University of Sri Jayewardenepura)","FOOD SCIENCE & TECHNOLOGY
(Sabaragamuwa University of Sri Lanka)","BIOLOGICAL SCIENCE
(University of Colombo)"
COLOMBO,2.4516,2.2279,2.1465,2.0526,1.8790,1.9559,1.8732,NQC,1.8772,1.8894,1.9152,NQC,1.8311,1.8337,1.7345,1.7704,1.1759,0.4638,0.4158,0.5911,0.6993,0.5923,1.0529,1.5034,1.4434,1.3571,1.5982
GAMPAHA,2.4412,2.2147,2.1566,2.0517,1.7278,1.9550,1.8707,1.6406,1.8547,1.6816,1.6890,1.6473,1.6275,1.6219,1.6011,1.5980,1.2040,0.4618,0.4227,0.5781,0.6872,0.6036,1.1113,1.5113,1.4441,1.2593,1.6014
KALUTARA,2.4446,2.2204,2.1474,2.0514,1.7840,1.9559,1.8732,1.7783,1.8995,1.7850,1.7711,NQC,1.7698,1.7682,1.7211,1.7372,1.2884,0.6491,0.7903,0.5987,0.6924,0.5923,1.2161,1.5138,1.4433,1.4426,1.5932
MATALE,2.4981,2.2150,2.1943,2.0612,1.7073,1.9778,NQC,1.6524,1.8604,1.6800,1.6921,1.6520,1.6329,NQC,1.5648,1.5588,1.2325,0.6560,NQC,0.6104,0.7378,0.6231,1.1317,NQC,NQC,1.1763,NQC
KANDY,2.5501,2.2216,2.1512,2.0545,1.8169,1.9598,1.8827,NQC,1.8509,1.8032,1.8229,NQC,1.7860,NQC,1.7446,1.7709,1.3487,0.7642,0.6029,0.6183,0.7021,0.6098,1.0935,1.5677,1.4696,1.1115,1.6031
NUWARA ELIYA,NQC,2.2598,NQC,2.0969,1.7308,1.9775,1.9286,1.4296,1.9025,1.6837,1.7319,1.3830,1.3891,1.3789,1.3253,1.3150,1.1548,0.4627,0.3495,0.6258,0.9751,0.6297,1.0887,NQC,NQC,1.0500,NQC
GALLE,2.4478,2.2429,2.1503,2.0791,NQC,1.9552,1.8728,NQC,1.9071,NQC,1.8661,NQC,1.8319,1.8340,1.7523,1.7812,1.3090,0.6394,0.6045,0.5857,0.7423,0.5863,1.1207,1.5440,1.4435,1.4051,1.5974
MATARA,2.4552,2.2225,2.1557,2.0508,NQC,1.9550,1.9130,NQC,1.9079,1.9005,NQC,NQC,1.8405,1.8535,1.7211,1.7361,1.3705,0.6099,0.5849,0.5798,0.7077,0.5887,1.1777,1.6068,1.4624,1.3730,1.6141
HAMBANTOTA,2.4711,2.2646,2.1643,2.0508,1.7765,1.9606,1.9222,1.8366,1.8525,1.7698,NQC,NQC,1.7587,1.8254,1.7457,1.7306,1.3042,0.8231,0.6204,0.6221,0.7067,0.6287,1.1177,1.5091,1.4433,NQC,1.6106
