Course,University,District,Z_Score
MEDICINE,University of Colombo,COLOMBO,2.37
MEDICINE,University of Colombo,GAMPAHA,2.37
MEDICINE,University of Colombo,KALUTARA,2.3809
MEDICINE,University of Colombo,MATALE,2.4415
MEDICINE,University of Colombo,KANDY,2.5094
MEDICINE,University of Colombo,NUWARA ELIYA,2.8086
MEDICINE,University of Colombo,GALLE,2.3865
MEDICINE,University of Colombo,MATARA,2.3706
MEDICINE,University of Colombo,HAMBANTOTA,2.4802
MEDICINE,University of Colombo,JAFFNA,2.3703
MEDICINE,University of Colombo,KILINOCHCHI,2.4962
MEDICINE,University of Colombo,MANNAR,2.527
MEDICINE,University of Colombo,VAVUNIYA,2.8227
MEDICINE,University of Colombo,TRINCOMALEE,2.479
MEDICINE,University of Colombo,BATTICALOA,2.4312
MEDICINE,University of Colombo,AMPARA,2.3849
MEDICINE,University of Colombo,PUTTALAM,2.3803
MEDICINE,University of Colombo,KURUNEGALA,2.4158
MEDICINE,University of Colombo,ANURADHAPURA,2.378
MEDICINE,University of Colombo,POLONNARUWA,2.5831
MEDICINE,University of Colombo,BADULLA,2.4412
MEDICINE,University of Colombo,MONARAGALA,2.4569
MEDICINE,University of Colombo,KEGALLE,2.3907
MEDICINE,University of Colombo,RATNAPURA,2.3844
MEDICINE,University of Peradeniya,COLOMBO,2.1625
MEDICINE,University of Peradeniya,GAMPAHA,2.1812
MEDICINE,University of Peradeniya,KALUTARA,2.1587
MEDICINE,University of Peradeniya,MATALE,2.1817
MEDICINE,University of Peradeniya,KANDY,2.1565
MEDICINE,University of Peradeniya,NUWARA ELIYA,2.2153
MEDICINE,University of Peradeniya,GALLE,2.2065
MEDICINE,University of Peradeniya,MATARA,2.2008
MEDICINE,University of Peradeniya,HAMBANTOTA,2.1781
MEDICINE,University of Peradeniya,JAFFNA,2.1833
MEDICINE,University of Peradeniya,KILINOCHCHI,2.2201
MEDICINE,University of Peradeniya,MULLAITIVU,2.2856
MEDICINE,University of Peradeniya,VAVUNIYA,2.201
MEDICINE,University of Peradeniya,TRINCOMALEE,2.352
MEDICINE,University of Peradeniya,BATTICALOA,2.1799
MEDICINE,University of Peradeniya,AMPARA,2.1581
