Course,University,District,Z_Score
MEDICINE,University of Ruhuna,KALUTARA,1.9765
MEDICINE,University of Ruhuna,MATALE,2.0065
MEDICINE,University of Ruhuna,KANDY,1.9735
MEDICINE,University of Ruhuna,NUWARA ELIYA,1.9828
MEDICINE,University of Ruhuna,GALLE,1.9731
MEDICINE,University of Ruhuna,MATARA,1.981
MEDICINE,University of Ruhuna,HAMBANTOTA,1.9723
MEDICINE,University of Ruhuna,MULLAITIVU,2.0336
MEDICINE,University of Ruhuna,BATTICALOA,1.9984
MEDICINE,University of Ruhuna,AMPARA,1.9871
MEDICINE,University of Ruhuna,PUTTALAM,1.9981
MEDICINE,University of Ruhuna,KURUNEGALA,1.9761
MEDICINE,University of Ruhuna,ANURADHAPURA,1.984
MEDICINE,University of Ruhuna,POLONNARUWA,2.0015
MEDICINE,University of Ruhuna,BADULLA,1.99
MEDICINE,University of Ruhuna,MONARAGALA,1.9904
MEDICINE,University of Ruhuna,KEGALLE,1.9739
MEDICINE,University of Ruhuna,RATNAPURA,1.9796
MEDICINE,University of Moratuwa,COLOMBO,1.9185
MEDICINE,University of Moratuwa,GAMPAHA,1.9296
MEDICINE,University of Moratuwa,KALUTARA,1.9184
MEDICINE,University of Moratuwa,KANDY,1.9209
MEDICINE,University of Moratuwa,NUWARA ELIYA,1.9703
MEDICINE,University of Moratuwa,GALLE,1.9167
MEDICINE,University of Moratuwa,MATARA,1.9168
MEDICINE,University of Moratuwa,HAMBANTOTA,1.9306
MEDICINE,University of Moratuwa,TRINCOMALEE,1.9246
MEDICINE,University of Moratuwa,AMPARA,1.9159
MEDICINE,University of Moratuwa,PUTTALAM,1.9373
MEDICINE,University of Moratuwa,KURUNEGALA,1.9395
MEDICINE,University of Moratuwa,ANURADHAPURA,1.9326
MEDICINE,University of Moratuwa,POLONNARUWA,1.9504
MEDICINE,University of Moratuwa,MONARAGALA,1.9518
MEDICINE,University of Moratuwa,KEGALLE,1.9234
MEDICINE,University of Moratuwa,RATNAPURA,1.9182
MEDICINE,"Eastern University, Sri Lanka",COLOMBO,1.9521
MEDICINE,"Eastern University, Sri Lanka",KANDY,1.8334
MEDICINE,"Eastern University, Sri Lanka",NUWARA ELIYA,1.5393
MEDICINE,"Eastern University, Sri Lanka",MANNAR,1.6131
MEDICINE,"Eastern University, Sri Lanka",VAVUNIYA,1.5661
MEDICINE,"Eastern University, Sri Lanka",TRINCOMALEE,1.6629
MEDICINE,"Eastern University, Sri Lanka",BATTICALOA,1.7625
MEDICINE,"Eastern University, Sri Lanka",AMPARA,1.807
MEDICINE,"Eastern University, Sri Lanka",PUTTALAM,1.6559
MEDICINE,"Eastern University, Sri Lanka",ANURADHAPURA,1.6606
MEDICINE,"Eastern University, Sri Lanka",POLONNARUWA,1.5814
MEDICINE,"Eastern University, Sri Lanka",MONARAGALA,1.6362
MEDICINE,Rajarata University of Sri Lanka,COLOMBO,1.8923
MEDICINE,Rajarata University of Sri Lanka,GAMPAHA,1.8819
MEDICINE,Rajarata University of Sri Lanka,KALUTARA,1.891
MEDICINE,Rajarata University of Sri Lanka,MATALE,1.8807
MEDICINE,Rajarata University of Sri Lanka,KANDY,1.8844
MEDICINE,Rajarata University of Sri Lanka,NUWARA ELIYA,1.8987
MEDICINE,Rajarata University of Sri Lanka,GALLE,1.8821
MEDICINE,Rajarata University of Sri Lanka,MATARA,1.8937
MEDICINE,Rajarata University of Sri Lanka,HAMBANTOTA,1.9324
MEDICINE,Rajarata University of Sri Lanka,MANNAR,1.9274
MEDICINE,Rajarata University of Sri Lanka,VAVUNIYA,2.0263
MEDICINE,Rajarata University of Sri Lanka,TRINCOMALEE,1.8836
MEDICINE,Rajarata University of Sri Lanka,BATTICALOA,1.8925
MEDICINE,Rajarata University of Sri Lanka,AMPARA,1.8837
MEDICINE,Rajarata University of Sri Lanka,PUTTALAM,1.8784
MEDICINE,Rajarata University of Sri Lanka,KURUNEGALA,1.8789
MEDICINE,Rajarata University of Sri Lanka,ANURADHAPURA,1.8784
MEDICINE,Rajarata University of Sri Lanka,POLONNARUWA,1.885
MEDICINE,Rajarata University of Sri Lanka,BADULLA,1.8807
MEDICINE,Rajarata University of Sri Lanka,MONARAGALA,1.9014
MEDICINE,Rajarata University of Sri Lanka,KEGALLE,1.8802
MEDICINE,Rajarata University of Sri Lanka,RATNAPURA,1.8772
MEDICINE,Sabaragamuwa University of Sri Lanka,COLOMBO,1.8839
MEDICINE,Sabaragamuwa University of Sri Lanka,GAMPAHA,1.7239
MEDICINE,Sabaragamuwa University of Sri Lanka,KALUTARA,1.8613
MEDICINE,Sabaragamuwa University of Sri Lanka,MATALE,1.7269
MEDICINE,Sabaragamuwa University of Sri Lanka,KANDY,1.8268
MEDICINE,Sabaragamuwa University of Sri Lanka,GALLE,1.8344
MEDICINE,Sabaragamuwa University of Sri Lanka,MATARA,1.8598
MEDICINE,Sabaragamuwa University of Sri Lanka,HAMBANTOTA,1.7785
MEDICINE,Sabaragamuwa University of Sri Lanka,BATTICALOA,1.7647
MEDICINE,Sabaragamuwa University of Sri Lanka,AMPARA,1.8268
MEDICINE,Sabaragamuwa University of Sri Lanka,PUTTALAM,1.7561
MEDICINE,Sabaragamuwa University of Sri Lanka,KURUNEGALA,1.8354
MEDICINE,Sabaragamuwa University of Sri Lanka,POLONNARUWA,1.7753
MEDICINE,Sabaragamuwa University of Sri Lanka,BADULLA,1.7632
MEDICINE,Sabaragamuwa University of Sri Lanka,MONARAGALA,1.7286
MEDICINE,Sabaragamuwa University of Sri Lanka,KEGALLE,1.8332
MEDICINE,Sabaragamuwa University of Sri Lanka,RATNAPURA,1.7813
MEDICINE,Wayamba University of Sri Lanka,COLOMBO,1.8844
MEDICINE,Wayamba University of Sri Lanka,GAMPAHA,1.7779
MEDICINE,Wayamba University of Sri Lanka,KALUTARA,1.8591
MEDICINE,Wayamba University of Sri Lanka,MATALE,1.7754
MEDICINE,Wayamba University of Sri Lanka,KANDY,1.8131
MEDICINE,Wayamba University of Sri Lanka,NUWARA ELIYA,1.7931
MEDICINE,Wayamba University of Sri Lanka,GALLE,1.8312
MEDICINE,Wayamba University of Sri Lanka,MATARA,1.8604
MEDICINE,Wayamba University of Sri Lanka,HAMBANTOTA,1.7989
MEDICINE,Wayamba University of Sri Lanka,TRINCOMALEE,1.7862
MEDICINE,Wayamba University of Sri Lanka,BATTICALOA,1.7993
MEDICINE,Wayamba University of Sri Lanka,AMPARA,1.8152
MEDICINE,Wayamba University of Sri Lanka,PUTTALAM,1.7751
MEDICINE,Wayamba University of Sri Lanka,KURUNEGALA,1.8186
MEDICINE,Wayamba University of Sri Lanka,ANURADHAPURA,1.779
MEDICINE,Wayamba University of Sri Lanka,POLONNARUWA,1.78
MEDICINE,Wayamba University of Sri Lanka,MONARAGALA,1.8033
MEDICINE,Wayamba University of Sri Lanka,KEGALLE,1.8206
MEDICINE,Wayamba University of Sri Lanka,RATNAPURA,1.7887
MEDICINE,Uva Wellassa University of Sri Lanka,COLOMBO,1.8893
MEDICINE,Uva Wellassa University of Sri Lanka,GAMPAHA,1.7173
MEDICINE,Uva Wellassa University of Sri Lanka,NUWARA ELIYA,1.5388
MEDICINE,Uva Wellassa University of Sri Lanka,GALLE,1.8352
MEDICINE,Uva Wellassa University of Sri Lanka,PUTTALAM,1.682
MEDICINE,Uva Wellassa University of Sri Lanka,POLONNARUWA,1.5233
MEDICINE,Uva Wellassa University of Sri Lanka,MONARAGALA,1.7301
MEDICINE,Uva Wellassa University of Sri Lanka,RATNAPURA,1.8748
DENTAL SURGERY,University of Peradeniya,COLOMBO,1.8293
DENTAL SURGERY,University of Peradeniya,GAMPAHA,1.6946
DENTAL SURGERY,University of Peradeniya,KALUTARA,1.8356
DENTAL SURGERY,University of Peradeniya,MATALE,1.7257
DENTAL SURGERY,University of Peradeniya,KANDY,1.7962
DENTAL SURGERY,University of Peradeniya,GALLE,1.8171
DENTAL SURGERY,University of Peradeniya,MATARA,1.8302
DENTAL SURGERY,University of Peradeniya,HAMBANTOTA,1.7758
DENTAL SURGERY,University of Peradeniya,JAFFNA,1.8361
DENTAL SURGERY,University of Peradeniya,KILINOCHCHI,1.6782
DENTAL SURGERY,University of Peradeniya,MULLAITIVU,1.6538
DENTAL SURGERY,University of Peradeniya,BATTICALOA,1.7593
DENTAL SURGERY,University of Peradeniya,AMPARA,1.7938
DENTAL SURGERY,University of Peradeniya,PUTTALAM,1.6545
DENTAL SURGERY,University of Peradeniya,KURUNEGALA,1.8112
DENTAL SURGERY,University of Peradeniya,ANURADHAPURA,1.6592
DENTAL SURGERY,University of Peradeniya,BADULLA,1.7375
DENTAL SURGERY,University of Peradeniya,KEGALLE,1.8058
DENTAL SURGERY,University of Peradeniya,RATNAPURA,1.7637
DENTAL SURGERY,University of Sri Jayewardenepura,COLOMBO,1.8283
DENTAL SURGERY,University of Sri Jayewardenepura,KALUTARA,1.835
DENTAL SURGERY,University of Sri Jayewardenepura,MATALE,1.7263
DENTAL SURGERY,University of Sri Jayewardenepura,NUWARA ELIYA,1.5299
DENTAL SURGERY,University of Sri Jayewardenepura,MANNAR,1.5449
DENTAL SURGERY,University of Sri Jayewardenepura,VAVUNIYA,1.5526
DENTAL SURGERY,University of Sri Jayewardenepura,TRINCOMALEE,1.6355
DENTAL SURGERY,University of Sri Jayewardenepura,ANURADHAPURA,1.6397
DENTAL SURGERY,University of Sri Jayewardenepura,POLONNARUWA,1.5004
DENTAL SURGERY,University of Sri Jayewardenepura,MONARAGALA,1.6241
VETERINARY SCIENCE,University of Peradeniya,COLOMBO,1.7683
VETERINARY SCIENCE,University of Peradeniya,GAMPAHA,1.666
VETERINARY SCIENCE,University of Peradeniya,KALUTARA,1.7739
VETERINARY SCIENCE,University of Peradeniya,MATALE,1.7064
VETERINARY SCIENCE,University of Peradeniya,KANDY,1.7766
VETERINARY SCIENCE,University of Peradeniya,NUWARA ELIYA,1.5014
VETERINARY SCIENCE,University of Peradeniya,GALLE,1.7758
VETERINARY SCIENCE,University of Peradeniya,MATARA,1.7843
VETERINARY SCIENCE,University of Peradeniya,HAMBANTOTA,1.7739
VETERINARY SCIENCE,University of Peradeniya,JAFFNA,1.7256
VETERINARY SCIENCE,University of Peradeniya,KILINOCHCHI,1.6525
VETERINARY SCIENCE,University of Peradeniya,MANNAR,1.5081
VETERINARY SCIENCE,University of Peradeniya,MULLAITIVU,1.6381
VETERINARY SCIENCE,University of Peradeniya,VAVUNIYA,1.513
VETERINARY SCIENCE,University of Peradeniya,TRINCOMALEE,1.6335
VETERINARY SCIENCE,University of Peradeniya,BATTICALOA,1.714
VETERINARY SCIENCE,University of Peradeniya,AMPARA,1.7754
VETERINARY SCIENCE,University of Peradeniya,PUTTALAM,1.6325
VETERINARY SCIENCE,University of Peradeniya,KURUNEGALA,1.7795
VETERINARY SCIENCE,University of Peradeniya,ANURADHAPURA,1.6258
VETERINARY SCIENCE,University of Peradeniya,POLONNARUWA,1.4618
VETERINARY SCIENCE,University of Peradeniya,BADULLA,1.7199
VETERINARY SCIENCE,University of Peradeniya,MONARAGALA,1.5953
VETERINARY SCIENCE,University of Peradeniya,KEGALLE,1.7593
VETERINARY SCIENCE,University of Peradeniya,RATNAPURA,1.7556
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,COLOMBO,1.7958
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,GAMPAHA,1.6837
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,KALUTARA,1.8033
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,MATALE,1.6962
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,KANDY,1.7727
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,NUWARA ELIYA,1.5219
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,GALLE,1.7941
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,MATARA,1.7612
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,HAMBANTOTA,1.7713
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,JAFFNA,1.8056
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,KILINOCHCHI,1.5353
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,MANNAR,1.5368
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,MULLAITIVU,1.4995
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,VAVUNIYA,1.5032
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,TRINCOMALEE,1.6277
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,BATTICALOA,1.7484
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,AMPARA,1.741
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,PUTTALAM,1.6444
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,KURUNEGALA,1.7978
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,ANURADHAPURA,1.6198
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,POLONNARUWA,1.4577
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,BADULLA,1.7072
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,MONARAGALA,1.569
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,KEGALLE,1.7558
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,RATNAPURA,1.736
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,COLOMBO,1.3103
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,GAMPAHA,1.2666
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,KALUTARA,1.3915
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,MATALE,1.3837
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,KANDY,1.3761
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,NUWARA ELIYA,1.274
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,GALLE,1.3836
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,MATARA,1.3573
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,HAMBANTOTA,1.3956
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,JAFFNA,1.3066
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,KILINOCHCHI,1.224
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,MANNAR,1.0367
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,MULLAITIVU,0.9756
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,VAVUNIYA,1.2406
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,TRINCOMALEE,1.3445
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,BATTICALOA,1.3145
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,AMPARA,1.2847
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,PUTTALAM,1.2587
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,KURUNEGALA,1.376
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,ANURADHAPURA,1.3555
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,POLONNARUWA,1.3517
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,BADULLA,1.3546
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,MONARAGALA,1.3388
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,KEGALLE,1.3958
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,RATNAPURA,1.3768
AGRICULTURE,University of Jaffna,COLOMBO,0.7425
AGRICULTURE,University of Jaffna,GAMPAHA,0.7549
AGRICULTURE,University of Jaffna,KALUTARA,0.8398
AGRICULTURE,University of Jaffna,MATALE,0.8328
AGRICULTURE,University of Jaffna,KANDY,0.877
AGRICULTURE,University of Jaffna,NUWARA ELIYA,0.7491
AGRICULTURE,University of Jaffna,GALLE,0.7838
AGRICULTURE,University of Jaffna,MATARA,0.8417
AGRICULTURE,University of Jaffna,HAMBANTOTA,0.9608
AGRICULTURE,University of Jaffna,JAFFNA,0.7592
AGRICULTURE,University of Jaffna,KILINOCHCHI,1.3605
AGRICULTURE,University of Jaffna,MULLAITIVU,0.9905
AGRICULTURE,University of Jaffna,VAVUNIYA,0.7733
AGRICULTURE,University of Jaffna,TRINCOMALEE,0.8475
AGRICULTURE,University of Jaffna,BATTICALOA,0.7507
AGRICULTURE,University of Jaffna,AMPARA,0.7714
AGRICULTURE,University of Jaffna,PUTTALAM,0.7433
AGRICULTURE,University of Jaffna,KURUNEGALA,0.8194
AGRICULTURE,University of Jaffna,ANURADHAPURA,0.7443
AGRICULTURE,University of Jaffna,POLONNARUWA,0.8022
AGRICULTURE,University of Jaffna,BADULLA,0.7521
AGRICULTURE,University of Jaffna,MONARAGALA,0.7433
AGRICULTURE,University of Jaffna,KEGALLE,0.9638
AGRICULTURE,University of Jaffna,RATNAPURA,0.7841
AGRICULTURE,"Eastern University, Sri Lanka",COLOMBO,0.6968
AGRICULTURE,"Eastern University, Sri Lanka",GAMPAHA,0.6345
AGRICULTURE,"Eastern University, Sri Lanka",KANDY,0.8219
AGRICULTURE,"Eastern University, Sri Lanka",NUWARA ELIYA,0.5643
AGRICULTURE,"Eastern University, Sri Lanka",GALLE,0.7825
AGRICULTURE,"Eastern University, Sri Lanka",HAMBANTOTA,0.8399
AGRICULTURE,"Eastern University, Sri Lanka",KILINOCHCHI,0.5012
AGRICULTURE,"Eastern University, Sri Lanka",MANNAR,0.6012
AGRICULTURE,"Eastern University, Sri Lanka",MULLAITIVU,0.6048
AGRICULTURE,"Eastern University, Sri Lanka",VAVUNIYA,0.6219
AGRICULTURE,"Eastern University, Sri Lanka",TRINCOMALEE,0.7006
AGRICULTURE,"Eastern University, Sri Lanka",BATTICALOA,0.7402
AGRICULTURE,"Eastern University, Sri Lanka",AMPARA,0.7663
AGRICULTURE,"Eastern University, Sri Lanka",PUTTALAM,0.6287
AGRICULTURE,"Eastern University, Sri Lanka",KURUNEGALA,0.8324
AGRICULTURE,"Eastern University, Sri Lanka",ANURADHAPURA,0.7483
AGRICULTURE,"Eastern University, Sri Lanka",POLONNARUWA,0.6254
AGRICULTURE,"Eastern University, Sri Lanka",BADULLA,0.7949
AGRICULTURE,"Eastern University, Sri Lanka",MONARAGALA,0.7379
AGRICULTURE,"Eastern University, Sri Lanka",KEGALLE,1.2661
AGRICULTURE,"Eastern University, Sri Lanka",RATNAPURA,0.7971
AGRICULTURE,Rajarata University of Sri Lanka,COLOMBO,0.856
AGRICULTURE,Rajarata University of Sri Lanka,GAMPAHA,0.8515
AGRICULTURE,Rajarata University of Sri Lanka,KALUTARA,0.8497
